id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
80820758,Jean-Luc Mélenchon,JLMelenchon,"Député @FranceInsoumise, candidat de l'#UnionPopulaire pour 2022. JLM ne tweete pas en personne. Rejoignez-nous sur https://t.co/L4S5X5uVLZ et @Melenchon_2022.",France,https://t.co/UVjNDMrIh1,2009-10-08,10:50:24 UTC,40990,4844,2329382,2840,11432,False,True,https://pbs.twimg.com/profile_images/1410524303226028036/2xeMlqqy_normal.jpg,https://pbs.twimg.com/profile_banners/80820758/1637232340
1324449588,Fabien Roussel,Fabien_Roussel,"Député du Nord
Candidat à l'élection présidentielle 2022
Secrétaire national du @PCF
https://t.co/0RCwoGHKai",Saint-Amand-les-Eaux,https://t.co/0RCwoGHKai,2013-04-03,12:12:25 UTC,6222,497,34325,1460,1339,False,True,https://pbs.twimg.com/profile_images/1466460495272202241/9t5zvTxL_normal.jpg,https://pbs.twimg.com/profile_banners/1324449588/1638466095
1003575248,Nathalie Arthaud,n_arthaud,candidate à la #Présidentielle2022 de @LutteOuvriere,,https://t.co/muXl3rF5hf,2012-12-11,08:05:41 UTC,3501,1413,21722,169,386,False,True,https://pbs.twimg.com/profile_images/1445280531764088836/J2hmiCgL_normal.jpg,https://pbs.twimg.com/profile_banners/1003575248/1451927363
388972391,Anasse Kazib,AnasseKazib,"Cheminot à Paris Nord, Marxiste, Candidat #Présidentielle2022 @RevPermanente et syndicaliste SUD-Rail IG : https://t.co/sQXFPbP5Nv",paris,https://t.co/LZ3u9xvN29,2011-10-11,16:55:00 UTC,18000,1596,58593,13732,3276,False,True,https://pbs.twimg.com/profile_images/1484572339220140036/bmGdDJnz_normal.jpg,https://pbs.twimg.com/profile_banners/388972391/1640092311
374392774,Philippe Poutou,PhilippePoutou,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.","Bordeaux, France",https://t.co/HxQQK9nxB5,2011-09-16,07:27:04 UTC,4542,20,196960,650,663,False,True,https://pbs.twimg.com/profile_images/1414505068645208064/yVqvYNcU_normal.jpg,https://pbs.twimg.com/profile_banners/374392774/1506151190
26073581,Anne Hidalgo,Anne_Hidalgo,Maire de @Paris | Candidate à la présidence de la République | Présidente de l'@AIMFrancophones,Paris,https://t.co/cUfzaxYeAJ,2009-03-23,19:45:35 UTC,113964,16707,1538143,14947,15244,False,True,https://pbs.twimg.com/profile_images/1477714818685624322/GP-_7Bng_normal.jpg,https://pbs.twimg.com/profile_banners/26073581/1639496874
18578222,Pierre Larrouturou,larrouturou,"Justice sociale et enjeux climatiques. Député européen, Rapporteur général budget 2021 MEP 🇪🇺 Nouvelle Donne, S&DGroup. #Climat #Social",,https://t.co/EVf5dMIBh8,2009-01-03,12:10:04 UTC,14235,49166,51492,63411,1485,False,True,https://pbs.twimg.com/profile_images/1441029325353099265/VJilAIID_normal.jpg,https://pbs.twimg.com/profile_banners/18578222/1604089769
117761523,Yannick Jadot,yjadot,"Candidat à l'élection présidentielle 🇫🇷
Écologiste 🌻 Député européen 🇪🇺
#Jadot2022 #2022lecologie",France,https://t.co/5cFyHS6yLU,2010-02-26,14:41:13 UTC,39341,1430,85931,5594,7263,False,True,https://pbs.twimg.com/profile_images/1472936749861113864/iKyOXMTN_normal.jpg,https://pbs.twimg.com/profile_banners/117761523/1639654710
1435043822698962946,Antoine Waechter,Waechter2022,"Candidat une nouvelle fois à la Présidentielle. 
Mouvement Ecologiste Indépendant #MEI 🌵 🌎 
https://t.co/aFZ6XpEmnl 💻  
MAIL : contactAW2022@gmail.com",Paris,https://t.co/LUa9eLHguy,2021-09-07,00:55:13 UTC,269,506,266,266,67,False,False,https://pbs.twimg.com/profile_images/1437880511217774593/lo5aOF-v_normal.jpg,https://pbs.twimg.com/profile_banners/1435043822698962946/1631686007
1976143068,Emmanuel Macron,EmmanuelMacron,Président de la République française.,France,https://t.co/tXWVLyHyWM,2013-10-20,19:35:28 UTC,10922,724,7501075,190,4717,False,True,https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_normal.jpg,https://pbs.twimg.com/profile_banners/1976143068/1622484293
573718530,Denis Payre,DenisPayre,"Fondateur de #BusinessObjects, #Kiala, #Natureandpeoplefirst, #CroissancePlus, #NousCitoyens - Auteur Le Contrat Mondial",Paris,https://t.co/DnsdV8oirq,2012-05-07,13:24:22 UTC,13732,1358,25257,17240,200,False,False,https://pbs.twimg.com/profile_images/1436749109268996101/sAYL_vt0_normal.jpg,https://pbs.twimg.com/profile_banners/573718530/1633638853
217749896,Marine Le Pen,MLP_officiel,Candidate à la Présidence de la République | Député du Pas-de-Calais | #MLaFrance,France,https://t.co/olAE1Hdwc8,2010-11-20,12:23:03 UTC,23244,3272,2649109,1098,6291,False,True,https://pbs.twimg.com/profile_images/1436241098557566976/iQxr_b7h_normal.jpg,https://pbs.twimg.com/profile_banners/217749896/1631615622
38170599,N. Dupont-Aignan,dupontaignan,"Candidat à l'élection présidentielle 2022.

Député de l'Essonne et Président de Debout la France @DLF_Officiel 🇫🇷 #SauvonsLaFrance",Yerres,https://t.co/CTOUTzUBT2,2009-05-06,12:51:28 UTC,23235,471,281420,694,5935,False,True,https://pbs.twimg.com/profile_images/672054572601483265/xRGGJGn1_normal.jpg,https://pbs.twimg.com/profile_banners/38170599/1633952057
472412809,Florian Philippot,f_philippot,Président de @_LesPatriotes. Candidat présidentielle 2022 #Frexit #Gaulliste 🇫🇷,,https://t.co/R4XtIRiuPI,2012-01-23,22:42:25 UTC,21448,872,303245,42530,4994,False,True,https://pbs.twimg.com/profile_images/1113016533511495681/2XXL3vS5_normal.jpg,https://pbs.twimg.com/profile_banners/472412809/1640587697
4141100595,Antoine MARTINEZ,antoine27955080,"Général (2s) Armée de l'air.
Pour une France ouverte sur le monde mais fidèle à son héritage spirituel et culturel à transmettre et fière de son histoire.",,https://t.co/IXz9CkuHow,2015-11-08,10:59:46 UTC,4275,218,9017,3367,997,False,False,https://pbs.twimg.com/profile_images/1371169565774901249/Sb1V26MU_normal.jpg,https://pbs.twimg.com/profile_banners/4141100595/1447346194
200659061,François Asselineau,UPR_Asselineau,Candidat à la présidentielle 2022 - Président fondateur de @UPR_Officiel (#UPR) Chaîne YT : https://t.co/ARGE0c19yv #Frexit #France,France,https://t.co/qreljYoFoM,2010-10-09,22:03:47 UTC,21451,747,114876,17719,3305,False,True,https://pbs.twimg.com/profile_images/1487522316892442630/Q9pVmhso_normal.jpg,https://pbs.twimg.com/profile_banners/200659061/1640324080
1183418538285027329,Eric Zemmour,ZemmourEric,Candidat à l'élection présidentielle,France,https://t.co/ZpA7vZVclX,2019-10-13,16:26:30 UTC,3959,25,329558,534,1376,False,True,https://pbs.twimg.com/profile_images/1465637600060919808/8nQIBTEI_normal.jpg,https://pbs.twimg.com/profile_banners/1183418538285027329/1638270208
102722347,Jean Lassalle,jeanlassalle,"Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",Lourdios-Ichère,https://t.co/3vqpDiryjI,2010-01-07,16:24:46 UTC,5090,446,66318,888,964,False,True,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://pbs.twimg.com/profile_banners/102722347/1503573411
1394233391336329218,Clara Egger,ClaraEgger1,Asst Prof @univofgroningen. Director @NOHANetwork. Crisis governance. Foreign aid. Democratization. Political violence. Converting into a triathlete,The Netherlands,https://t.co/gngSBIFaYM,2021-05-17,10:08:51 UTC,96,227,690,169,2,False,False,https://pbs.twimg.com/profile_images/1394252544583553024/5_PeVCuu_normal.jpg,https://pbs.twimg.com/profile_banners/1394233391336329218/1621250750
794465538575663105,Alexandre Langlois,AlexLanglois_,Candidat libre à l'élection présidentielle,France,https://t.co/EgEiGLsMlb,2016-11-04,09:05:19 UTC,2731,158,20326,4727,224,False,False,https://pbs.twimg.com/profile_images/1403719912720420872/4XJGrC9-_normal.jpg,https://pbs.twimg.com/profile_banners/794465538575663105/1636966266
4827536777,Hélène Thouy 2022,HeleneThouy,Candidate à l’élection #Présidentielle2022 • Avocate • Co-présidente et co-fondatrice du @Partianimaliste • Engagée pour la justice envers chaque individu,"Bordeaux, Aquitaine",https://t.co/CMMwHvsc5w,2016-01-19,20:31:41 UTC,793,485,8020,918,67,False,False,https://pbs.twimg.com/profile_images/1416095067350183940/zHQufbTz_normal.jpg,https://pbs.twimg.com/profile_banners/4827536777/1628781808
11911322,"🇫🇷 🇪🇺 Pr Philippe Juvin, MD PhD",philippejuvin,"Maire #LR @Lagarenne, Prof médecine MD PhD, chef Urgences @HopitalPompidou, Ex OPEX Afghanistan.","La Garenne-Colombes, France",https://t.co/SiFcnLuJvu,2008-01-06,17:26:01 UTC,6535,953,39747,4027,1194,False,True,https://pbs.twimg.com/profile_images/1474369686464864257/5ZDg5tRx_normal.jpg,https://pbs.twimg.com/profile_banners/11911322/1639853561
1193963467046342658,Jacline Mouraud,JaclineMouraud,"Compte officiel de Jacline Mouraud . soutien d’Eric Zemmour et de Reconquête 🇫🇷 | Auteur de "" Jaune...Et après? "" Télémaque",Morbihan,https://t.co/oFGxFTJtXo,2019-11-11,18:47:42 UTC,2042,522,6154,6502,221,False,False,https://pbs.twimg.com/profile_images/1336032960978579462/9wgtU9T2_normal.jpg,https://pbs.twimg.com/profile_banners/1193963467046342658/1639950954
250657766,Georges Kuzmanovic 🇨🇵,Vukuzman,"Président de #RépubliqueSouveraine, candidat à l'#ElectionPrésidentielle2022. De l'audace, Reprenons le contrôle ! https://t.co/Ci7npZ0jON",Paris,https://t.co/HlvTddZDuh,2011-02-11,14:54:36 UTC,13870,1239,17647,29694,1246,False,True,https://pbs.twimg.com/profile_images/1440989152695173124/YyqXRxl1_normal.jpg,https://pbs.twimg.com/profile_banners/250657766/1631473199
