username,following,followers,date
JLMelenchon,4844,2330383,2021-12-31
Fabien_Roussel,497,34587,2021-12-31
n_arthaud,1412,21815,2021-12-31
AnasseKazib,1608,59181,2021-12-31
PhilippePoutou,20,197597,2021-12-31
Anne_Hidalgo,16707,1538385,2021-12-31
larrouturou,49178,51531,2021-12-31
yjadot,1457,86161,2021-12-31
Waechter2022,506,268,2021-12-31
EmmanuelMacron,724,7506705,2021-12-31
vpecresse,1501,407465,2021-12-31
philippejuvin,956,39816,2021-12-31
DenisPayre,1360,25315,2021-12-31
MLP_officiel,3272,2649927,2021-12-31
dupontaignan,471,282180,2021-12-31
f_philippot,874,304550,2021-12-31
antoine27955080,219,9072,2021-12-31
UPR_Asselineau,747,115626,2021-12-31
ZemmourEric,27,330937,2021-12-31
JaclineMouraud,524,6326,2021-12-31
jeanlassalle,447,66357,2021-12-31
ClaraEgger1,228,692,2021-12-31
AlexLanglois_,158,20322,2021-12-31
HeleneThouy,485,8098,2021-12-31
Vukuzman,1240,17652,2021-12-31
JLMelenchon,4843,2330732,2022-01-01
Fabien_Roussel,498,34950,2022-01-01
n_arthaud,1416,21847,2022-01-01
AnasseKazib,1611,59238,2022-01-01
PhilippePoutou,20,197818,2022-01-01
Anne_Hidalgo,16708,1538462,2022-01-01
larrouturou,49177,51528,2022-01-01
yjadot,1457,86228,2022-01-01
Waechter2022,506,269,2022-01-01
EmmanuelMacron,724,7508008,2022-01-01
vpecresse,1501,407881,2022-01-01
philippejuvin,956,39819,2022-01-01
DenisPayre,1362,25333,2022-01-01
MLP_officiel,3272,2650377,2022-01-01
dupontaignan,471,282377,2022-01-01
f_philippot,875,304927,2022-01-01
antoine27955080,219,9082,2022-01-01
UPR_Asselineau,747,115847,2022-01-01
ZemmourEric,27,331482,2022-01-01
JaclineMouraud,524,6388,2022-01-01
jeanlassalle,447,66375,2022-01-01
ClaraEgger1,228,694,2022-01-01
AlexLanglois_,158,20321,2022-01-01
HeleneThouy,485,8121,2022-01-01
Vukuzman,1238,17666,2022-01-01
JLMelenchon,4842,2331161,2022-01-02
Fabien_Roussel,498,35104,2022-01-02
n_arthaud,1415,21875,2022-01-02
AnasseKazib,1613,59274,2022-01-02
PhilippePoutou,20,197982,2022-01-02
Anne_Hidalgo,16706,1538528,2022-01-02
larrouturou,49191,51538,2022-01-02
yjadot,1457,86309,2022-01-02
Waechter2022,506,269,2022-01-02
EmmanuelMacron,724,7509735,2022-01-02
vpecresse,1501,408575,2022-01-02
philippejuvin,955,39827,2022-01-02
DenisPayre,1364,25444,2022-01-02
MLP_officiel,3272,2650913,2022-01-02
dupontaignan,471,282671,2022-01-02
f_philippot,874,305458,2022-01-02
antoine27955080,219,9079,2022-01-02
UPR_Asselineau,747,116103,2022-01-02
ZemmourEric,27,332225,2022-01-02
JaclineMouraud,525,6415,2022-01-02
jeanlassalle,447,66379,2022-01-02
ClaraEgger1,228,695,2022-01-02
AlexLanglois_,158,20323,2022-01-02
HeleneThouy,485,8157,2022-01-02
Vukuzman,1238,17704,2022-01-02
JLMelenchon,4840,2331560,2022-01-03
Fabien_Roussel,498,35170,2022-01-03
n_arthaud,1415,21885,2022-01-03
AnasseKazib,1615,59336,2022-01-03
PhilippePoutou,20,198062,2022-01-03
Anne_Hidalgo,16704,1538631,2022-01-03
larrouturou,49211,51562,2022-01-03
yjadot,1457,86416,2022-01-03
Waechter2022,506,268,2022-01-03
EmmanuelMacron,724,7511826,2022-01-03
vpecresse,1501,409173,2022-01-03
philippejuvin,955,39878,2022-01-03
DenisPayre,1365,25467,2022-01-03
MLP_officiel,3272,2651395,2022-01-03
dupontaignan,471,282984,2022-01-03
f_philippot,874,306021,2022-01-03
antoine27955080,220,9081,2022-01-03
UPR_Asselineau,747,116457,2022-01-03
ZemmourEric,27,332875,2022-01-03
JaclineMouraud,527,6444,2022-01-03
jeanlassalle,447,66431,2022-01-03
ClaraEgger1,228,697,2022-01-03
AlexLanglois_,158,20318,2022-01-03
HeleneThouy,485,8173,2022-01-03
Vukuzman,1238,17795,2022-01-03
JLMelenchon,4840,2332768,2022-01-04
Fabien_Roussel,499,35325,2022-01-04
n_arthaud,1415,21917,2022-01-04
AnasseKazib,1616,59417,2022-01-04
PhilippePoutou,20,198208,2022-01-04
Anne_Hidalgo,16705,1538707,2022-01-04
larrouturou,49214,51589,2022-01-04
yjadot,1457,86506,2022-01-04
Waechter2022,506,271,2022-01-04
EmmanuelMacron,724,7513684,2022-01-04
vpecresse,1501,409753,2022-01-04
philippejuvin,958,39917,2022-01-04
DenisPayre,1364,25494,2022-01-04
MLP_officiel,3270,2651918,2022-01-04
dupontaignan,471,283342,2022-01-04
f_philippot,874,306586,2022-01-04
antoine27955080,221,9123,2022-01-04
UPR_Asselineau,747,116697,2022-01-04
ZemmourEric,27,333661,2022-01-04
JaclineMouraud,527,6504,2022-01-04
jeanlassalle,447,66533,2022-01-04
ClaraEgger1,228,699,2022-01-04
AlexLanglois_,158,20299,2022-01-04
HeleneThouy,486,8213,2022-01-04
Vukuzman,1239,17847,2022-01-04
JLMelenchon,4840,2334929,2022-01-05
Fabien_Roussel,499,35511,2022-01-05
n_arthaud,1415,21958,2022-01-05
AnasseKazib,1617,59522,2022-01-05
PhilippePoutou,20,198413,2022-01-05
Anne_Hidalgo,16705,1538855,2022-01-05
larrouturou,49224,51631,2022-01-05
yjadot,1457,86702,2022-01-05
Waechter2022,506,275,2022-01-05
EmmanuelMacron,724,7516725,2022-01-05
vpecresse,1501,410614,2022-01-05
philippejuvin,958,39977,2022-01-05
DenisPayre,1369,25546,2022-01-05
MLP_officiel,3267,2653153,2022-01-05
dupontaignan,471,284126,2022-01-05
f_philippot,874,307868,2022-01-05
antoine27955080,221,9125,2022-01-05
UPR_Asselineau,747,117229,2022-01-05
ZemmourEric,28,335289,2022-01-05
JaclineMouraud,527,6679,2022-01-05
jeanlassalle,447,66627,2022-01-05
ClaraEgger1,229,700,2022-01-05
AlexLanglois_,158,20290,2022-01-05
HeleneThouy,486,8289,2022-01-05
Vukuzman,1240,17874,2022-01-05
JLMelenchon,4840,2337131,2022-01-06
Fabien_Roussel,499,35815,2022-01-06
yjadot,1457,86991,2022-01-06
EmmanuelMacron,724,7520898,2022-01-06
n_arthaud,1416,21988,2022-01-06
vpecresse,1501,411671,2022-01-06
ZemmourEric,28,336848,2022-01-06
PhilippePoutou,18,199265,2022-01-06
Anne_Hidalgo,16705,1538998,2022-01-06
MLP_officiel,3267,2654714,2022-01-06
dupontaignan,471,286029,2022-01-06
larrouturou,49238,51656,2022-01-06
ChTaubira,352,820567,2022-01-06
Waechter2022,506,277,2022-01-06
f_philippot,874,309376,2022-01-06
antoine27955080,220,9133,2022-01-06
UPR_Asselineau,747,117696,2022-01-06
JaclineMouraud,528,6937,2022-01-06
jeanlassalle,447,66791,2022-01-06
ClaraEgger1,229,711,2022-01-06
AlexLanglois_,159,20279,2022-01-06
AnasseKazib,1618,59651,2022-01-06
HeleneThouy,486,8325,2022-01-06
Vukuzman,1240,17920,2022-01-06
philippejuvin,956,40013,2022-01-06
DenisPayre,1378,25575,2022-01-06
JLMelenchon,4840,2337877,2022-01-07
Fabien_Roussel,498,36072,2022-01-07
yjadot,1457,87112,2022-01-07
EmmanuelMacron,724,7523014,2022-01-07
n_arthaud,1416,22009,2022-01-07
vpecresse,1501,412103,2022-01-07
ZemmourEric,28,337367,2022-01-07
PhilippePoutou,18,199393,2022-01-07
Anne_Hidalgo,16705,1539102,2022-01-07
MLP_officiel,3266,2655334,2022-01-07
dupontaignan,471,286516,2022-01-07
larrouturou,49241,51682,2022-01-07
ChTaubira,352,821015,2022-01-07
Waechter2022,506,279,2022-01-07
f_philippot,874,309918,2022-01-07
antoine27955080,221,9139,2022-01-07
UPR_Asselineau,747,118034,2022-01-07
JaclineMouraud,528,7000,2022-01-07
jeanlassalle,447,66865,2022-01-07
ClaraEgger1,229,712,2022-01-07
AlexLanglois_,159,20286,2022-01-07
AnasseKazib,1618,59795,2022-01-07
HeleneThouy,487,8358,2022-01-07
Vukuzman,1241,17955,2022-01-07
philippejuvin,959,40030,2022-01-07
DenisPayre,1378,25590,2022-01-07
JLMelenchon,4840,2338580,2022-01-08
Fabien_Roussel,498,36385,2022-01-08
yjadot,1457,87275,2022-01-08
EmmanuelMacron,724,7525366,2022-01-08
n_arthaud,1416,22032,2022-01-08
vpecresse,1501,412659,2022-01-08
ZemmourEric,28,337458,2022-01-08
PhilippePoutou,18,199535,2022-01-08
Anne_Hidalgo,16702,1539213,2022-01-08
MLP_officiel,3266,2655896,2022-01-08
dupontaignan,471,286919,2022-01-08
larrouturou,49244,51766,2022-01-08
ChTaubira,352,821330,2022-01-08
Waechter2022,506,284,2022-01-08
f_philippot,874,310546,2022-01-08
antoine27955080,221,9138,2022-01-08
UPR_Asselineau,747,118264,2022-01-08
JaclineMouraud,528,7044,2022-01-08
jeanlassalle,447,66937,2022-01-08
ClaraEgger1,229,721,2022-01-08
AlexLanglois_,159,20286,2022-01-08
AnasseKazib,1617,59875,2022-01-08
HeleneThouy,487,8424,2022-01-08
Vukuzman,1241,17985,2022-01-08
philippejuvin,958,40055,2022-01-08
DenisPayre,1380,25620,2022-01-08
JLMelenchon,4840,2339264,2022-01-09
Fabien_Roussel,498,36523,2022-01-09
yjadot,1457,87426,2022-01-09
EmmanuelMacron,724,7527633,2022-01-09
n_arthaud,1416,22051,2022-01-09
vpecresse,1501,413217,2022-01-09
ZemmourEric,28,337846,2022-01-09
PhilippePoutou,18,199645,2022-01-09
Anne_Hidalgo,16700,1539287,2022-01-09
MLP_officiel,3266,2656456,2022-01-09
dupontaignan,470,287293,2022-01-09
larrouturou,49252,51806,2022-01-09
ChTaubira,352,821590,2022-01-09
Waechter2022,505,285,2022-01-09
f_philippot,876,311740,2022-01-09
antoine27955080,221,9135,2022-01-09
UPR_Asselineau,747,118575,2022-01-09
JaclineMouraud,528,7061,2022-01-09
jeanlassalle,447,66956,2022-01-09
ClaraEgger1,229,735,2022-01-09
AlexLanglois_,159,20284,2022-01-09
AnasseKazib,1617,59944,2022-01-09
HeleneThouy,488,8449,2022-01-09
Vukuzman,1240,18013,2022-01-09
philippejuvin,958,40064,2022-01-09
DenisPayre,1380,25655,2022-01-09
JLMelenchon,4836,2340815,2022-01-10
Fabien_Roussel,499,38172,2022-01-10
yjadot,1457,87690,2022-01-10
EmmanuelMacron,724,7530912,2022-01-10
n_arthaud,1415,22083,2022-01-10
vpecresse,1501,413960,2022-01-10
ZemmourEric,28,339016,2022-01-10
PhilippePoutou,18,199805,2022-01-10
Anne_Hidalgo,16697,1539456,2022-01-10
MLP_officiel,3265,2657167,2022-01-10
dupontaignan,471,287745,2022-01-10
larrouturou,49265,51857,2022-01-10
ChTaubira,352,822112,2022-01-10
Waechter2022,505,287,2022-01-10
