username,following,followers,date
AlexLanglois_,158.0,20322.0,2021-12-31
AlexLanglois_,158.0,20321.0,2022-01-01
AlexLanglois_,158.0,20323.0,2022-01-02
AlexLanglois_,158.0,20318.0,2022-01-03
AlexLanglois_,158.0,20299.0,2022-01-04
AlexLanglois_,158.0,20290.0,2022-01-05
AlexLanglois_,159.0,20279.0,2022-01-06
AlexLanglois_,159.0,20286.0,2022-01-07
AlexLanglois_,159.0,20286.0,2022-01-08
AlexLanglois_,159.0,20284.0,2022-01-09
AlexLanglois_,159.0,20280.0,2022-01-10
AlexLanglois_,159.0,20284.0,2022-01-11
AlexLanglois_,159.0,20278.0,2022-01-12
AlexLanglois_,159.0,20277.0,2022-01-13
AlexLanglois_,159.0,20275.0,2022-01-14
AlexLanglois_,159.0,20273.0,2022-01-15
AlexLanglois_,160.0,20271.0,2022-01-16
AlexLanglois_,160.0,20266.0,2022-01-17
AlexLanglois_,160.0,20271.0,2022-01-18
AlexLanglois_,160.0,20270.0,2022-01-19
AlexLanglois_,160.0,20269.0,2022-01-20
AlexLanglois_,160.0,20271.0,2022-01-21
AlexLanglois_,161.0,20275.0,2022-01-22
AlexLanglois_,161.0,20273.0,2022-01-23
AlexLanglois_,161.0,20266.0,2022-01-24
AlexLanglois_,161.0,20260.0,2022-01-25
AlexLanglois_,161.0,20264.0,2022-01-26
AlexLanglois_,161.0,20264.0,2022-01-27
AlexLanglois_,161.0,20274.0,2022-01-28
AlexLanglois_,161.0,20274.0,2022-01-29
AlexLanglois_,161.0,20274.0,2022-01-30
AlexLanglois_,161.0,20274.0,2022-01-31
AlexLanglois_,161.0,20274.0,2022-02-01
AlexLanglois_,161.0,20275.0,2022-02-02
AlexLanglois_,161.0,20275.0,2022-02-03
AlexLanglois_,161.0,20279.0,2022-02-04
AlexLanglois_,161.0,20276.0,2022-02-05
AlexLanglois_,161.0,20277.0,2022-02-06
AlexLanglois_,161.0,20277.0,2022-02-07
AlexLanglois_,162.0,20276.0,2022-02-08
AlexLanglois_,162.0,20272.0,2022-02-09
AlexLanglois_,162.0,20274.0,2022-02-10
AlexLanglois_,162.0,20281.0,2022-02-11
AlexLanglois_,162.0,20277.0,2022-02-12
AlexLanglois_,162.0,20273.0,2022-02-13
AlexLanglois_,162.0,20275.0,2022-02-14
AnasseKazib,1608.0,59181.0,2021-12-31
AnasseKazib,1611.0,59238.0,2022-01-01
AnasseKazib,1613.0,59274.0,2022-01-02
AnasseKazib,1615.0,59336.0,2022-01-03
AnasseKazib,1616.0,59417.0,2022-01-04
AnasseKazib,1617.0,59522.0,2022-01-05
AnasseKazib,1618.0,59651.0,2022-01-06
AnasseKazib,1618.0,59795.0,2022-01-07
AnasseKazib,1617.0,59875.0,2022-01-08
AnasseKazib,1617.0,59944.0,2022-01-09
AnasseKazib,1619.0,60013.0,2022-01-10
AnasseKazib,1621.0,60086.0,2022-01-11
AnasseKazib,1623.0,60183.0,2022-01-12
AnasseKazib,1624.0,60276.0,2022-01-13
AnasseKazib,1624.0,60347.0,2022-01-14
AnasseKazib,1627.0,60399.0,2022-01-15
AnasseKazib,1627.0,60485.0,2022-01-16
AnasseKazib,1629.0,60538.0,2022-01-17
AnasseKazib,1630.0,60633.0,2022-01-18
AnasseKazib,1632.0,60682.0,2022-01-19
AnasseKazib,1634.0,60735.0,2022-01-20
AnasseKazib,1636.0,60792.0,2022-01-21
AnasseKazib,1636.0,60817.0,2022-01-22
AnasseKazib,1635.0,60864.0,2022-01-23
AnasseKazib,1636.0,61037.0,2022-01-24
AnasseKazib,1643.0,61109.0,2022-01-25
AnasseKazib,1643.0,61182.0,2022-01-26
AnasseKazib,1645.0,61253.0,2022-01-27
AnasseKazib,1644.0,61319.0,2022-01-28
AnasseKazib,1646.0,61376.0,2022-01-29
AnasseKazib,1648.0,61433.0,2022-01-30
AnasseKazib,1650.0,61490.0,2022-01-31
AnasseKazib,1652.0,61547.0,2022-02-01
AnasseKazib,1658.0,61605.0,2022-02-02
AnasseKazib,1656.0,61639.0,2022-02-03
AnasseKazib,1657.0,61733.0,2022-02-04
AnasseKazib,1658.0,61813.0,2022-02-05
AnasseKazib,1659.0,61871.0,2022-02-06
AnasseKazib,1659.0,61931.0,2022-02-07
AnasseKazib,1676.0,62174.0,2022-02-08
AnasseKazib,1677.0,62416.0,2022-02-09
AnasseKazib,1680.0,62907.0,2022-02-10
AnasseKazib,1682.0,63198.0,2022-02-11
AnasseKazib,1682.0,63458.0,2022-02-12
AnasseKazib,1682.0,63597.0,2022-02-13
AnasseKazib,1684.0,63718.0,2022-02-14
Anne_Hidalgo,16707.0,1538385.0,2021-12-31
Anne_Hidalgo,16708.0,1538462.0,2022-01-01
Anne_Hidalgo,16706.0,1538528.0,2022-01-02
Anne_Hidalgo,16704.0,1538631.0,2022-01-03
Anne_Hidalgo,16705.0,1538707.0,2022-01-04
Anne_Hidalgo,16705.0,1538855.0,2022-01-05
Anne_Hidalgo,16705.0,1538998.0,2022-01-06
Anne_Hidalgo,16705.0,1539102.0,2022-01-07
Anne_Hidalgo,16702.0,1539213.0,2022-01-08
Anne_Hidalgo,16700.0,1539287.0,2022-01-09
Anne_Hidalgo,16697.0,1539456.0,2022-01-10
Anne_Hidalgo,16694.0,1539472.0,2022-01-11
Anne_Hidalgo,16694.0,1539593.0,2022-01-12
Anne_Hidalgo,16693.0,1539685.0,2022-01-13
Anne_Hidalgo,16686.0,1539811.0,2022-01-14
Anne_Hidalgo,16687.0,1539895.0,2022-01-15
Anne_Hidalgo,16689.0,1540015.0,2022-01-16
Anne_Hidalgo,16684.0,1540163.0,2022-01-17
Anne_Hidalgo,16681.0,1540291.0,2022-01-18
Anne_Hidalgo,16678.0,1540387.0,2022-01-19
Anne_Hidalgo,16680.0,1540539.0,2022-01-20
Anne_Hidalgo,16678.0,1540578.0,2022-01-21
Anne_Hidalgo,16676.0,1540685.0,2022-01-22
Anne_Hidalgo,16675.0,1540755.0,2022-01-23
Anne_Hidalgo,16677.0,1540865.0,2022-01-24
Anne_Hidalgo,16677.0,1540948.0,2022-01-25
Anne_Hidalgo,16677.0,1541073.0,2022-01-26
Anne_Hidalgo,16675.0,1541165.0,2022-01-27
Anne_Hidalgo,16676.0,1541224.0,2022-01-28
Anne_Hidalgo,16674.0,1541293.0,2022-01-29
Anne_Hidalgo,16673.0,1541362.0,2022-01-30
Anne_Hidalgo,16672.0,1541431.0,2022-01-31
Anne_Hidalgo,16671.0,1541501.0,2022-02-01
Anne_Hidalgo,16671.0,1541546.0,2022-02-02
Anne_Hidalgo,16672.0,1541611.0,2022-02-03
Anne_Hidalgo,16674.0,1541661.0,2022-02-04
Anne_Hidalgo,16674.0,1541668.0,2022-02-05
Anne_Hidalgo,16675.0,1541722.0,2022-02-06
Anne_Hidalgo,16672.0,1541759.0,2022-02-07
Anne_Hidalgo,16672.0,1541822.0,2022-02-08
Anne_Hidalgo,16671.0,1541888.0,2022-02-09
Anne_Hidalgo,16670.0,1541961.0,2022-02-10
Anne_Hidalgo,16667.0,1542060.0,2022-02-11
Anne_Hidalgo,16666.0,1542130.0,2022-02-12
Anne_Hidalgo,16666.0,1542181.0,2022-02-13
